"ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2016,"UF","33",28041,0,0,3156,24885,1260,3856,8208,3246,8315,15225,12807,1314,0,336,226,110,232,70,2,0,244,2,53,10,7,1,26,9,44,42,1,0,0,0,1,2
2016,"MUNICIPIO","250000",26,0,0,18,8,2,1,1,2,2,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250010",78,0,0,5,73,1,11,32,11,18,46,32,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250020",38,0,0,6,32,1,5,13,8,5,22,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250030",234,0,0,11,223,16,25,77,29,76,115,119,10,0,2,2,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250040",148,0,0,23,125,3,15,46,8,53,85,63,10,0,3,2,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250050",105,0,0,8,97,5,15,36,15,26,55,50,4,0,2,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250053",44,0,0,2,42,2,7,11,7,15,29,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250057",12,0,0,1,11,1,3,2,2,3,5,7,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250060",146,0,0,30,116,4,22,47,9,34,95,51,7,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"MUNICIPIO","250070",117,0,0,7,110,6,14,38,25,27,66,51,5,0,2,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
